"AA","Author's Alteration",""
"AA","Auto Answer",""
"AAL","ATM Adaption Layers",""
"AAL5","ATM Adaption Layer 5",""
"ABEND","Abnormal End",""
"ABI","Application Binary Interface",""
"ABR","Available Bit Rate",""
"AC97","Audio Codec 97",""
"ACB","Access method Control Block",""
"ACDS","Active Control Data Set",""
"ACE","Advanced Computing Environment",""
"ACE","Asynchronous Communications Element",""
"ACE","ATM Circuit Emulation",""
"ACF","Advanced Communication Facility",""
"ACIA","Asynchronous Communications Interface Adapter",""
"ACK","Acknowledge",""
"ACS","Asynchronous Connection Server",""
"ACS","Automatic Class Selection",""
"ACSE","Application Control Service Element",""
"ACT","Advanced CMos with TTL inputs",""
"ACT","Application Control Table",""
"ACU","Alarm Concentration Unit",""
"ACU","Automatic Calling Unit",""
"A-D","Analog to Digital",""
"ADC","Analog Digital Converter",""
"ADDMD","Administrative Directory Management Domain",""
"ADMD","Administrative Management Domain",""
"ADO","ActiveX Data Object",""
"ADSL","Asymetric Digital Subscriber Line",""
"AEA","Activity End Acknowledge",""
"AEI","Application Entity Invocation",""
"AF","Application Framework",""
"AFP","Advanced Function Printing",""
"AGP","Accellerated Graphics Port",""
"AGS","Advanced Graphics System",""
"AI","Adobe Illustrator (file extension)",""
"AI","Artificial Intelligence",""
"AIU","Alarm Interface Unit",""
"AIU","Application Interface Unit",""
"AIX","Advanced Interactive Executive",""
"AIX","Alternate Index",""
"AKA","Also Known As",""
"ALGOL","ALGOrithmic Language",""
"ALS","Application Layer Structure",""
"ALS","Automatic Line Switching",""
"ALT","Alternative",""
"ALT","Application Load Table",""
"ALU","Arithmetic and Logic Unit",""
"AM","Access Method",""
"AM","Amplitude Modulation",""
"AMH","Automated Material Handling",""
"AMI","Alternate Mark Inversion",""
"AMI","American Megatrends Incorporated",""
"AMIS","Audio Messaging Interchange Specification",""
"AMR","Audio Modem Riser",""
"AMS","Access Method Services",""
"ANR","Automatic Network Routing",""
"ANS","Advanced Network Services",""
"ANSI","American National Standards Institute",""
"AOCE","Apple Open Collaboration Environment",""
"AOL","America Online",""
"AOW","Asian and Oceanic Workshop for open systems",""
"AP","Access Point",""
"AP","Applications Process",""
"AP","Automation Protocol",""
"APA","All Points Addressable",""
"APAR","Authorized Program Analysis Report",""
"APDU","Application Protocol Data Unit",""
"API","Advanced Programming Interface",""
"API","Application Programming Interface",""
"APIA","API Association",""
"APL","A Programming Language",""
"APM","Advanced Power Management",""
"APPC","Advanced Peer-to-Peer Communications",""
"APPC","Advanced Program-to-Program Communication",""
"APPI","Advanced Peer-to-Peer Internetwork(ing)",""
"APPN","Advanced Peer-to-Peer Network(ing)",""
"APS","Advanced Production System",""
"APS","Applications Process Subsystem",""
"AR","Access Router (Accounts Receivable)",""
"AR","Address Register",""
"AR","Attention Routine",""
"ARP","Address Resolution Protocol",""
"ARPA","Advanced Research Projects Agency",""
"ARPANET","Advanced Research Projects Agency Network",""
"ARU","Audio Response Unit",""
"AS","Activity Start",""
"AS","Autonomous System",""
"ASC","Accredited Standards Committee",""
"ASCII","American Standard Code for Information Interchange",""
"ASE","Application Service Element",""
"ASIC","Application-Specific Integrated Circuit",""
"ASN","Abstract Syntax Notation",""
"ASN.1","Abstract Syntax Notation One",""
"ASO","Application Service Object",""
"ASP","Active Server Pages",""
"ASPI","Advanced SCSI Programming Interface",""
"ASR","Automatic Send and Receive",""
"ASR","Automatic Speech Recognition",""
"ASTs","Asynchronous System Traps",""
"AT","Advanced Technology",""
"ATA","Advanced Technology Attachment",""
"ATM","Adobe Type Manager",""
"ATM","Asynchronous Transfer Mode",""
"ATM","Automatic Teller Machine",""
"ATMP","Ascend Tunnel Management Protocol",""
"ATSF","Alert Transport Service Facility",""
"AU","Access Unit",""
"AVI","Audio Video Interleave",""
"AVR","Automatic Volume Recognition",""
"AWG","American Wire Gauge",""
"AWR","Automatic Write Relocation",""
"B8ZS","Binary Eight Zero Substitution",""
"BABT","British Approvals Board for Telecommunications",""
"BAL","Business Application Language",""
"BAM","Basic Access Methods",""
"BAS","Basic Activity Subset",""
"BASH","Bourne-Again SHell",""
"BASIC","Beginners All-Purpose Symbolic Instruction Code",""
"BAT","Block Address Translation",""
"BBS","Bulletin Board System",""
"BCC","Block Check Character",""
"BCD","Binary Coded Decimal",""
"BCF","Bridge Control Facility",""
"BCPL","Basic Combined Programming Language",""
"BCS","Basic Catalog Structure",""
"BCS","Basic Combined Subset",""
"BCS","Binary Synchronous Communication",""
"BCS","British Computer Society",""
"BDAM","Basic Direct Access Method",""
"BDR","Basic Density Range",""
"BECN","Backward Explicit Congestion Notification",""
"BEL","Bell",""
"BER","Bit Error Rate",""
"BES","Bursty Errored Seconds",""
"BG","BackGround",""
"BGP","Border Gateway Protocol",""
"BHT","Branch History Table",""
"B-ICI","Broadband-Interchange Carrier Interconnect",""
"BIOS","Basic Input/Output System",""
"BIS","Brought Into Service",""
"BIS","Business Information System",""
"BISDN","Broadband ISDN",""
"BISYNC","Binary Synchronous Communication",""
"BIT","Binary Digit",""
"BITNIC","Bitnet Network Information Center",""
"BLOB","Binary Large Object",""
"BMIC","Bus Master Interface Controller",""
"BMP","BitMap",""
"BMS","Basic Mapping Support",""
"BNN","Boundary Network Node",""
"BOC","Bell Operating Companies",""
"BOT","Begin Of Tape",""
"BP","Base Pointer",""
"BPAM","Basic Partitioned Access Method",""
"BPI","Bytes Per Inch",""
"BPS","Bites Per Second",""
"BR","Backbone Router",""
"BR","Buffer Register",""
"BRA","Basic Rate Access",""
"BRI","Basic Rate Interface",""
"BS","Backing Store",""
"BS","Backspace / British Standard",""
"BSA","Basic Service Area",""
"BSAM","Basic Sequential Access Method",""
"BSC","Binary Synchronous Communication",""
"BSC","Block Sum Check",""
"BSD","Berkeley Software Distribution",""
"BSDS","BootStrap Data Set",""
"BSI","British Standards Institute",""
"BSS","Basic Synchronous Subset",""
"BTAC","Branch Target Address Cache",""
"BTA-ES","Basic Teleprocessing Access Method - Extended Storage",""
"BTAM","Basic Teleprocessing Access Method",""
"BYP","Bypass",""
"CA","Collision Avoidance",""
"CAA","Computer Aided Architecture",""
"CAD","Computer Aided Design",""
"CADD","Computer Aided Design and Drafting",""
"CADIS","Computer Aided Design Interactive System",""
"CAE","Common Application Environment",""
"CAE","Computer Aided Engineering",""
"CAE","Computer Assisted Education",""
"CAH","Computer Aided Handling",""
"CAI","Common Air Interface",""
"CAI","Computer Aided Instruction = CIM + CAO",""
"CAISE","Computer Aided Integrated Software Engineering",""
"CALS","Computer Aided Acquisition and Logistic Support",""
